<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;M;01/02/20;000000;255.97;270.8;251.4;252.2;745103430
SBER;M;01/03/20;000000;251.8;259.77;231;233.36;915734170
SBER;M;01/04/20;000000;238.55;241;172.15;187.21;2993191110
SBER;M;01/05/20;000000;183.2;205.44;182;197.25;1764475550
SBER;M;01/06/20;000000;195.68;205;183.33;200.5;1356212500
SBER;M;01/07/20;000000;203.1;223.15;200.75;203.22;1517022880
SBER;M;01/08/20;000000;205.01;221.98;197.73;221.57;1085909540
SBER;M;01/09/20;000000;222.27;244.04;221.3;226.1;1323419970
SBER;M;01/10/20;000000;226.71;232.6;215.79;229.14;1399555760
SBER;M;01/11/20;000000;229.14;229.9;200.5;200.99;1485720760
SBER;M;01/12/20;000000;200.44;252.88;196.15;249.63;2308248000
SBER;M;01/01/21;000000;250.71;287.74;249.8;271.65;1658371850
SBER;M;01/02/21;000000;274.67;296.07;257.36;258.11;1469032080
SBER;M;01/03/21;000000;260;276.48;258.55;270.17;1288972520
SBER;M;01/04/21;000000;273;295.72;271.13;291.02;1362873010
SBER;M;01/05/21;000000;292;301.84;278;297.73;1205253110
SBER;M;01/06/21;000000;298.7;320.19;293;310.79;978132530
SBER;M;01/07/21;000000;312.6;316.58;303.34;306.45;698700260
SBER;M;01/08/21;000000;306.19;308.37;290.03;305.59;604314570
SBER;M;01/09/21;000000;306.31;338.99;306.06;327.94;752229330
SBER;M;01/10/21;000000;328.87;342.2;322.39;340.99;803141320
SBER;M;01/11/21;000000;339.21;388.11;336.08;356.14;983995470
SBER;M;01/12/21;000000;356.14;374;300.1;315;1401061380
SBER;M;01/01/22;000000;321.35;329.44;261.5;293.49;1995340960
SBER;M;01/02/22;000000;295.9;310.1;221.03;269.42;4241223320
SBER;M;01/03/22;000000;269.71;282.3;89.59;131.12;6064909530
SBER;M;01/04/22;000000;131;156.2;122;143.69;469662380
SBER;M;01/05/22;000000;144.99;169.9;111.5;128.8;1589852680
SBER;M;01/06/22;000000;129.1;131.5;117.1;118.3;707411300
SBER;M;01/07/22;000000;117.5;142.35;115.8;125.2;1068202950
SBER;M;01/08/22;000000;124.5;137.1;122.24;131.9;939492770
SBER;M;01/09/22;000000;131.77;138.34;122.24;134.25;911665050
SBER;M;01/10/22;000000;133.98;145.1;103.4;110.21;1917278690
SBER;M;01/11/22;000000;110.67;128.6;96.5;126.72;1738950620
SBER;M;01/12/22;000000;127.23;141;123.75;136.78;1350197090
SBER;M;01/01/23;000000;137.11;143.6;132.86;141.15;958733750
SBER;M;01/02/23;000000;141.6;158.18;140.54;158.07;1058380340
SBER;M;01/03/23;000000;158.2;171.92;153.83;169.82;1353085640
SBER;M;01/04/23;000000;170.4;219.53;166.55;216.6;1903360990
SBER;M;01/05/23;000000;218.45;241.58;211.4;240.38;1215295380
SBER;M;01/06/23;000000;242.2;252.59;215.7;246.17;1485531910
SBER;M;01/07/23;000000;247;247.68;232.54;239.61;943774460
SBER;M;01/08/23;000000;240;267.77;239.15;267.4;869246920
SBER;M;01/09/23;000000;268.98;273.35;254.33;264.85;1249369380
SBER;M;01/10/23;000000;265.4;269.11;248.62;260.72;933354960
SBER;M;01/11/23;000000;261.38;276;257;268.35;799131090
SBER;M;01/12/23;000000;268.29;289;267.2;277.5;798525920
SBER;M;01/01/24;000000;277.04;280.79;254.81;270.82;951201780
SBER;M;01/02/24;000000;271.75;279.17;271;276;405937980
SBER;M;01/03/24;000000;276.07;293.95;275.93;292.19;646298220
SBER;M;01/04/24;000000;292.21;302.95;291.05;298.72;648717150
SBER;M;01/05/24;000000;299.99;315.79;298.95;308.24;623596590
